dataset,attack,alpha,n,dp_naive_mean,dp_dro_mean,dp_reduction_pct,dp_pvalue,dp_wins,if_naive_mean,if_dro_mean,if_reduction_pct,if_pvalue,if_wins
credit,dp,0.3,3,0.037639533480008446,0.037877668937047325,-0.632673606058375,0.75,1,0.004877439339547669,0.0056564080807670995,-15.970821775704412,0.875,1
credit,dp,0.4,3,0.01657833655675252,0.014568060636520386,12.125913240807062,0.125,3,0.0,0.0,0.0,1.0,0
credit,if,0.0,3,0.013040624558925629,0.013075475891431173,-0.267251814687888,0.625,1,0.000236109399201116,0.00030202367158955806,-27.915653102394693,0.875,1
credit,if,0.1,3,0.013126425445079803,0.013618128995100657,-3.7459030829665103,0.875,1,0.0005105821061904956,0.00033456076646987473,34.4739641656249,0.125,3
credit,if,0.2,3,0.01246650516986847,0.012253060936927795,1.712140321752208,0.625,1,0.0008017015746598332,0.001170147125509009,-45.9573695197687,1.0,0
credit,if,0.3,3,0.010595517853895823,0.010141275823116302,4.287110911727742,0.625,1,0.002342853473061078,0.002348019009533886,-0.22047961958530524,0.625,1
credit,if,0.4,3,0.0035310983657836914,0.0020275314648946128,42.58059354560132,0.25,2,0.0,0.0,0.0,1.0,0
lsac,combined,0.0,3,0.007171789805094401,0.04473427931467692,-523.7526218021376,1.0,0,0.0,1.3124978021606681e-05,-131249.7802160668,1.0,0
lsac,combined,0.1,3,0.09803108374277751,0.08287036418914795,15.465215142258408,0.625,1,0.00048136124175853943,0.000328457043276843,31.764298574029628,0.5,1
lsac,combined,0.2,3,0.2834537823994954,0.18652466932932535,34.19573689582522,0.375,2,0.004640185289989392,0.001689478503858313,63.59014226183193,0.125,3
lsac,combined,0.3,3,0.5015842914581299,0.49147605895996094,2.01526093794878,0.375,2,0.01963519241278165,0.025937459398546817,-32.09677625560239,1.0,0
lsac,combined,0.4,3,0.24376525481541952,0.2182416021823883,10.470586386603472,0.125,3,0.0,0.0,0.0,1.0,0
lsac,dp,0.0,3,0.007171789805094401,0.04473427931467692,-523.7526218021376,1.0,0,0.0,1.3124978021606681e-05,-131249.7802160668,1.0,0
lsac,dp,0.1,3,0.1102634072303772,0.21100066105524698,-91.3605403815809,1.0,0,0.000813991682895693,0.0013957274457745722,-71.4661621840189,1.0,0
lsac,dp,0.2,3,0.030500133832295735,0.13594436645507812,-345.7171651470394,1.0,0,6.759459749855944e-06,0.0008611261117713235,-12620.898618086158,1.0,0
lsac,dp,0.3,3,0.030500133832295735,0.13208172718683878,-333.05283382624964,1.0,0,6.759459749855944e-06,0.0007797319547359363,-11418.525606899862,1.0,0
lsac,dp,0.4,3,0.1689667503039042,0.21327807505925497,-26.224876819353266,1.0,0,0.0,0.0,0.0,1.0,0
lsac,if,0.0,3,0.007171789805094401,0.04473427931467692,-523.7526218021376,1.0,0,0.0,1.3124978021606681e-05,-131249.7802160668,1.0,0
lsac,if,0.1,3,0.012035826841990152,0.0,99.9999169147926,0.5,1,0.0,0.0,0.0,1.0,0
lsac,if,0.2,3,0.05412578582763672,0.06887094179789226,-27.24238183436859,1.0,0,0.003398821247094359,0.00269972595422662,20.568696767907838,0.25,2
lsac,if,0.3,3,0.10055031379063924,0.19296894470850626,-91.91281284215094,1.0,0,0.016557449397964195,0.02644067571491888,-59.690475932375634,1.0,0
lsac,if,0.4,3,0.061154703299204506,0.06704469521840413,-9.631296757753322,1.0,0,0.0,0.0,0.0,1.0,0
