dataset,attack,alpha,method,tau,n_seeds,acc_mean,acc_se,dp_mean,dp_se,if_mean,if_se
adult,combined,0.100000,dro,100.000000,3,0.822443,0.001027,0.210947,0.004268,0.031567,0.002237
adult,combined,0.100000,naive,100.000000,3,0.820269,0.002270,0.167233,0.002531,0.028480,0.001663
adult,combined,0.200000,dro,100.000000,3,0.737645,0.003358,0.482890,0.008219,0.027446,0.004602
adult,combined,0.200000,naive,100.000000,3,0.762963,0.004820,0.253155,0.011319,0.032297,0.000705
adult,combined,0.300000,dro,100.000000,3,0.686309,0.002745,0.551365,0.001456,0.022912,0.002786
adult,combined,0.300000,naive,100.000000,3,0.689773,0.001365,0.443404,0.024932,0.039057,0.009465
adult,combined,0.400000,dro,100.000000,3,0.662687,0.002382,0.560822,0.002166,0.028699,0.004111
adult,combined,0.400000,naive,100.000000,3,0.667367,0.002802,0.500887,0.006514,0.035467,0.007175
adult,dp,0.100000,dro,100.000000,3,0.819974,0.001943,0.203341,0.012481,0.030913,0.003453
adult,dp,0.100000,naive,100.000000,3,0.817947,0.002521,0.180058,0.011510,0.031541,0.003270
adult,dp,0.200000,dro,100.000000,3,0.748701,0.002316,0.503047,0.012488,0.017445,0.003071
adult,dp,0.200000,naive,100.000000,3,0.773761,0.007555,0.327147,0.026009,0.027693,0.001325
adult,dp,0.300000,dro,100.000000,3,0.675290,0.004921,0.562217,0.010055,0.020185,0.004971
adult,dp,0.300000,naive,100.000000,3,0.663129,0.005034,0.531308,0.013184,0.025980,0.004363
adult,dp,0.400000,dro,100.000000,3,0.550028,0.002790,0.526002,0.006542,0.038384,0.001240
adult,dp,0.400000,naive,100.000000,3,0.533886,0.001118,0.512853,0.004872,0.035085,0.002286
adult,if,0.100000,dro,100.000000,3,0.815220,0.001868,0.146529,0.007481,0.025193,0.001222
adult,if,0.100000,naive,100.000000,3,0.813267,0.001881,0.126077,0.005362,0.024754,0.000605
adult,if,0.200000,dro,100.000000,3,0.786954,0.004184,0.085442,0.005614,0.020687,0.001353
adult,if,0.200000,naive,100.000000,3,0.781205,0.005584,0.090189,0.004070,0.025410,0.000583
adult,if,0.300000,dro,100.000000,3,0.728948,0.007445,0.036072,0.015730,0.026884,0.000718
adult,if,0.300000,naive,100.000000,3,0.705399,0.009482,0.037678,0.009441,0.029018,0.002763
adult,if,0.400000,dro,100.000000,3,0.640980,0.003041,0.035488,0.011775,0.041389,0.008269
adult,if,0.400000,naive,100.000000,3,0.634715,0.002633,0.028482,0.013784,0.020896,0.004302
credit,combined,0.000000,dro,1.000000,3,0.805167,0.002315,0.010880,0.001210,0.000000,0.000000
credit,combined,0.000000,naive,1.000000,3,0.803611,0.002793,0.011751,0.001299,0.000000,0.000000
credit,dp,0.000000,dro,1.000000,3,0.805167,0.002315,0.010880,0.001210,0.000000,0.000000
credit,dp,0.000000,naive,1.000000,3,0.803611,0.002793,0.011751,0.001299,0.000000,0.000000
credit,dp,0.100000,naive,1.000000,1,0.811000,0.000000,0.007854,0.000000,0.000000,0.000000
credit,if,0.000000,dro,1.000000,3,0.805167,0.002315,0.010880,0.001210,0.000000,0.000000
credit,if,0.000000,naive,1.000000,3,0.803611,0.002793,0.011751,0.001299,0.000000,0.000000
